2025-07-19 23:58:53.521963 - 🌐 NAT VNF started on port 9102
2025-07-19 23:59:42.821715 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 10.0.2.3
2025-07-19 23:59:42.834447 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 20.189.173.7
2025-07-19 23:59:42.837985 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 20.189.173.7
2025-07-19 23:59:42.840274 - [NAT] Rewrote source 20.189.173.7 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:42.841557 - [NAT] Rewrote source 20.189.173.7 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:42.848674 - [NAT] Rewrote source 20.189.173.7 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:42.853803 - [NAT] Rewrote source 10.0.2.3 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:42.862897 - [NAT] Rewrote source 10.0.2.3 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:42.868610 - [NAT] Rewrote source 10.0.2.3 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:42.871890 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 10.0.2.3
2025-07-19 23:59:42.874716 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 10.0.2.3
2025-07-19 23:59:42.881737 - [NAT] Rewrote source 10.0.2.3 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:42.883749 - [NAT] Rewrote source 10.0.2.3 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:42.899593 - [NAT] Rewrote source 20.189.173.7 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:42.901493 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 20.189.173.7
2025-07-19 23:59:42.934141 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 10.0.2.3
2025-07-19 23:59:42.960646 - [NAT] Rewrote source 10.0.2.3 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:42.965989 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 52.182.143.209
2025-07-19 23:59:43.003214 - [NAT] Rewrote source 52.182.143.209 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:43.009699 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 52.182.143.209
2025-07-19 23:59:43.011445 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 52.182.143.209
2025-07-19 23:59:43.017930 - [NAT] Rewrote source 52.182.143.209 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:43.022128 - [NAT] Rewrote source 20.189.173.7 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:43.024971 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 20.189.173.7
2025-07-19 23:59:43.029137 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 20.189.173.7
2025-07-19 23:59:43.033531 - [NAT] Rewrote source 20.189.173.7 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:43.046709 - [NAT] Rewrote source 52.182.143.209 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:43.050105 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 52.182.143.209
2025-07-19 23:59:43.055967 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 52.182.143.209
2025-07-19 23:59:43.058708 - [NAT] Rewrote source 52.182.143.209 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:43.089547 - [NAT] Rewrote source 52.182.143.209 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:43.091774 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 52.182.143.209
2025-07-19 23:59:43.092408 - [NAT] Rewrote source 52.182.143.209 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:43.103138 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 52.182.143.209
2025-07-19 23:59:43.104129 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 52.182.143.209
2025-07-19 23:59:43.104918 - [NAT] Rewrote source 52.182.143.209 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:43.105991 - [NAT] Rewrote source 52.182.143.209 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:43.109956 - [NAT] Rewrote source 52.182.143.209 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:43.115849 - [NAT] Rewrote source 52.182.143.209 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:43.119825 - [NAT] Rewrote source 52.182.143.209 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:43.121139 - [NAT] Rewrote source 52.182.143.209 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:43.121951 - [NAT] Rewrote source 52.182.143.209 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:43.132220 - [NAT] Rewrote source 52.182.143.209 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:43.135894 - [NAT] Rewrote source 52.182.143.209 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:43.138646 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 52.182.143.209
2025-07-19 23:59:43.141669 - [NAT] Rewrote source 52.182.143.209 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:43.148512 - [NAT] Rewrote source 52.182.143.209 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:43.184667 - [NAT] Rewrote source 52.182.143.209 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:43.188360 - [NAT] Rewrote source 52.182.143.209 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:43.189396 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 52.182.143.209
2025-07-19 23:59:43.192501 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 52.182.143.209
2025-07-19 23:59:43.195896 - [NAT] Rewrote source 52.182.143.209 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:43.198356 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 52.182.143.209
2025-07-19 23:59:43.199191 - [NAT] Rewrote source 52.182.143.209 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:50.493546 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 34.36.54.80
2025-07-19 23:59:50.496025 - [NAT] Rewrote source 34.36.54.80 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:50.498044 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 34.36.54.80
2025-07-19 23:59:50.500016 - [NAT] Rewrote source 34.36.54.80 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:50.501759 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 34.36.54.80
2025-07-19 23:59:50.502957 - [NAT] Rewrote source 34.36.54.80 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:50.504529 - [NAT] Rewrote source 34.36.54.80 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:50.506336 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 34.36.54.80
2025-07-19 23:59:54.476767 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 34.120.208.123
2025-07-19 23:59:54.480680 - [NAT] Rewrote source 34.120.208.123 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:54.488689 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 34.120.208.123
2025-07-19 23:59:54.492062 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 34.120.208.123
2025-07-19 23:59:54.494116 - [NAT] Rewrote source 34.120.208.123 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:54.496953 - [NAT] Rewrote source 34.120.208.123 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:54.499980 - [NAT] Rewrote source 34.120.208.123 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:54.501320 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 34.120.208.123
2025-07-19 23:59:58.037479 - [NAT] Rewrote source 172.64.148.235 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:58.038297 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 172.64.148.235
2025-07-19 23:59:58.039288 - [NAT] Rewrote source 172.64.148.235 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:00.486010 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 34.120.237.76
2025-07-20 00:00:00.491643 - [NAT] Rewrote source 34.120.237.76 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:00.492875 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 34.120.237.76
2025-07-20 00:00:00.495939 - [NAT] Rewrote source 34.120.237.76 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:00.498933 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 34.120.237.76
